# WL(nm)	 Flux(ergs/cm**2/s/nm)
714.0	6.390e+07
715.0	6.270e+07
716.0	6.302e+07
717.0	6.390e+07
718.0	6.288e+07
719.0	6.173e+07
720.0	6.293e+07
721.0	6.224e+07
722.0	6.219e+07
723.0	6.275e+07
724.0	6.224e+07
725.0	6.182e+07
726.0	6.191e+07
727.0	6.233e+07
728.0	6.122e+07
729.0	5.997e+07
730.0	6.145e+07
731.0	6.099e+07
732.0	6.113e+07
733.0	6.094e+07
734.0	6.159e+07
735.0	6.071e+07
736.0	6.043e+07
737.0	6.090e+07
738.0	5.988e+07
739.0	5.886e+07
740.0	5.974e+07
741.0	5.877e+07
742.0	5.849e+07
743.0	5.988e+07
744.0	5.951e+07
745.0	5.937e+07
746.0	5.965e+07
747.0	5.974e+07
748.0	5.960e+07
749.0	5.891e+07
750.0	5.886e+07
751.0	5.826e+07
752.0	5.849e+07
753.0	5.877e+07
754.0	5.891e+07
755.0	5.858e+07
756.0	5.854e+07
757.0	5.863e+07
758.0	5.794e+07
759.0	5.775e+07
760.0	5.775e+07
761.0	5.757e+07
762.0	5.655e+07
763.0	5.761e+07
764.0	5.729e+07
765.0	5.669e+07
766.0	5.438e+07
767.0	5.623e+07
768.0	5.646e+07
769.0	5.590e+07
770.0	5.590e+07
771.0	5.553e+07
772.0	5.539e+07
773.0	5.572e+07
774.0	5.539e+07
775.0	5.493e+07
776.0	5.558e+07
777.0	5.484e+07
778.0	5.452e+07
779.0	5.456e+07
780.0	5.424e+07
781.0	5.428e+07
782.0	5.461e+07
783.0	5.364e+07
784.0	5.387e+07
785.0	5.354e+07
786.0	5.419e+07
787.0	5.396e+07
788.0	5.368e+07
789.0	5.396e+07
790.0	5.387e+07
791.0	5.313e+07
792.0	5.262e+07
793.0	5.193e+07
794.0	5.133e+07
795.0	5.253e+07
796.0	5.271e+07
797.0	5.267e+07
798.0	5.262e+07
799.0	5.267e+07
800.0	5.220e+07
801.0	5.234e+07
802.0	5.211e+07
803.0	5.188e+07
804.0	5.179e+07
805.0	5.114e+07
806.0	5.183e+07
807.0	5.142e+07
808.0	5.133e+07
809.0	5.091e+07
810.0	5.105e+07
811.0	5.156e+07
812.0	5.160e+07
813.0	5.170e+07
814.0	5.137e+07
815.0	5.109e+07
816.0	5.100e+07
817.0	5.082e+07
818.0	4.980e+07
819.0	4.952e+07
820.0	4.920e+07
821.0	4.915e+07
822.0	4.924e+07
823.0	4.975e+07
824.0	4.961e+07
825.0	4.948e+07
826.0	4.985e+07
827.0	4.975e+07
828.0	4.948e+07
829.0	4.915e+07
830.0	4.901e+07
831.0	4.874e+07
832.0	4.887e+07
833.0	4.735e+07
834.0	4.758e+07
835.0	4.832e+07
836.0	4.855e+07
837.0	4.832e+07
838.0	4.758e+07
839.0	4.744e+07
840.0	4.823e+07
841.0	4.795e+07
842.0	4.753e+07
843.0	4.698e+07
844.0	4.665e+07
845.0	4.776e+07
846.0	4.749e+07
847.0	4.642e+07
848.0	4.638e+07
849.0	4.508e+07
850.0	4.314e+07
851.0	4.596e+07
852.0	4.552e+07
853.0	4.359e+07
854.0	3.782e+07
855.0	4.129e+07
856.0	4.524e+07
857.0	4.607e+07
858.0	4.580e+07
859.0	4.575e+07
860.0	4.576e+07
861.0	4.553e+07
862.0	4.621e+07
863.0	4.730e+07
864.0	4.493e+07
865.0	4.451e+07
866.0	4.002e+07
867.0	4.176e+07
868.0	4.544e+07
869.0	4.449e+07
870.0	4.575e+07
871.0	4.513e+07
872.0	4.496e+07
873.0	4.487e+07
874.0	4.433e+07
875.0	4.344e+07
876.0	4.391e+07
877.0	4.433e+07
878.0	4.486e+07
879.0	4.416e+07
880.0	4.321e+07
881.0	4.268e+07
882.0	4.363e+07
883.0	4.369e+07
884.0	4.351e+07
885.0	4.383e+07
886.0	4.220e+07
887.0	4.235e+07
888.0	4.327e+07
889.0	4.328e+07
890.0	4.340e+07
891.0	4.308e+07
892.0	4.239e+07
893.0	4.213e+07
894.0	4.223e+07
895.0	4.207e+07
896.0	4.269e+07
897.0	4.204e+07
898.0	4.222e+07
899.0	4.210e+07
900.0	4.113e+07
901.0	3.972e+07
902.0	4.013e+07
903.0	4.165e+07
904.0	4.207e+07
905.0	4.195e+07
906.0	4.098e+07
907.0	4.131e+07
908.0	4.058e+07
909.0	3.976e+07
910.0	4.054e+07
911.0	4.033e+07
912.0	4.038e+07
913.0	4.127e+07
914.0	4.078e+07
915.0	4.045e+07
916.0	4.062e+07
917.0	4.005e+07
918.0	4.024e+07
919.0	4.038e+07
920.0	3.989e+07
921.0	3.889e+07
922.0	3.874e+07
923.0	3.768e+07
924.0	3.887e+07
925.0	3.886e+07
926.0	3.836e+07
927.0	3.959e+07
928.0	3.965e+07
929.0	3.912e+07
930.0	3.933e+07
931.0	3.933e+07
932.0	3.912e+07
933.0	3.927e+07
934.0	3.917e+07
935.0	3.871e+07
936.0	3.852e+07
937.0	3.879e+07
938.0	3.876e+07
939.0	3.848e+07
940.0	3.803e+07
941.0	3.664e+07
942.0	3.741e+07
943.0	3.786e+07
944.0	3.736e+07
945.0	3.773e+07
946.0	3.786e+07
947.0	3.795e+07
948.0	3.798e+07
949.0	3.795e+07
950.0	3.768e+07
951.0	3.748e+07
952.0	3.751e+07
953.0	3.717e+07
954.0	3.603e+07
955.0	3.542e+07
956.0	3.692e+07
957.0	3.663e+07
958.0	3.703e+07
959.0	3.707e+07
960.0	3.654e+07
961.0	3.672e+07
962.0	3.640e+07
963.0	3.622e+07
964.0	3.621e+07
965.0	3.607e+07
966.0	3.577e+07
967.0	3.608e+07
968.0	3.603e+07
969.0	3.601e+07
970.0	3.597e+07
971.0	3.586e+07
972.0	3.595e+07
973.0	3.557e+07
974.0	3.513e+07
975.0	3.556e+07
976.0	3.536e+07
977.0	3.528e+07
978.0	3.523e+07
979.0	3.493e+07
980.0	3.511e+07
981.0	3.530e+07
982.0	3.518e+07
983.0	3.493e+07
984.0	3.488e+07
985.0	3.491e+07
986.0	3.465e+07
987.0	3.458e+07
988.0	3.463e+07
989.0	3.408e+07
990.0	3.423e+07
991.0	3.429e+07
992.0	3.439e+07
993.0	3.430e+07
994.0	3.430e+07
995.0	3.415e+07
996.0	3.412e+07
997.0	3.411e+07
998.0	3.399e+07
999.0	3.383e+07
1000.0	3.379e+07
1001.0	3.399e+07
1002.0	3.385e+07
1003.0	3.344e+07
1004.0	3.283e+07
1005.0	3.135e+07
1006.0	3.273e+07
1007.0	3.333e+07
1008.0	3.331e+07
1009.0	3.329e+07
1010.0	3.324e+07
1011.0	3.314e+07
1012.0	3.302e+07
1013.0	3.302e+07
1014.0	3.279e+07
1015.0	3.260e+07
1016.0	3.247e+07
1017.0	3.258e+07
1018.0	3.236e+07
1019.0	3.197e+07
1020.0	3.224e+07
1021.0	3.214e+07
1022.0	3.200e+07
1023.0	3.237e+07
1024.0	3.226e+07
1025.0	3.223e+07
1026.0	3.217e+07
1027.0	3.209e+07
1028.0	3.204e+07
1029.0	3.169e+07
1030.0	3.179e+07
1031.0	3.172e+07
1032.0	3.159e+07
1033.0	3.112e+07
1034.0	3.111e+07
1035.0	3.121e+07
1036.0	3.140e+07
1037.0	3.088e+07
1038.0	3.103e+07
1039.0	3.103e+07
1040.0	3.091e+07
1041.0	3.105e+07
1042.0	3.084e+07
1043.0	3.076e+07
1044.0	3.088e+07
1045.0	3.048e+07
1046.0	3.016e+07
1047.0	3.045e+07
1048.0	3.064e+07
1049.0	3.055e+07
1050.0	3.044e+07
1051.0	3.043e+07
1052.0	3.033e+07
1053.0	3.012e+07
1054.0	3.022e+07
1055.0	3.028e+07
1056.0	3.022e+07
1057.0	3.017e+07
1058.0	2.946e+07
1059.0	2.954e+07
1060.0	2.952e+07
1061.0	2.951e+07
1062.0	2.971e+07
1063.0	2.945e+07
1064.0	2.979e+07
1065.0	2.968e+07
1066.0	2.901e+07
1067.0	2.941e+07
1068.0	2.885e+07
1069.0	2.791e+07
1070.0	2.895e+07
1071.0	2.912e+07
1072.0	2.900e+07
1073.0	2.852e+07
1074.0	2.897e+07
1075.0	2.835e+07
1076.0	2.900e+07
1077.0	2.899e+07
1078.0	2.856e+07
1079.0	2.840e+07
1080.0	2.880e+07
1081.0	2.801e+07
1082.0	2.776e+07
1083.0	2.772e+07
1084.0	2.839e+07
1085.0	2.856e+07
1086.0	2.821e+07
1087.0	2.725e+07
1088.0	2.785e+07
1089.0	2.781e+07
1090.0	2.818e+07
1091.0	2.804e+07
1092.0	2.778e+07
1093.0	2.687e+07
1094.0	2.575e+07
1095.0	2.698e+07
1096.0	2.696e+07
1097.0	2.700e+07
1098.0	2.663e+07
1099.0	2.724e+07
1100.0	2.741e+07
1101.0	2.704e+07
1102.0	2.669e+07
1103.0	2.721e+07
1104.0	2.712e+07
1105.0	2.711e+07
1106.0	2.703e+07
1107.0	2.693e+07
1108.0	2.694e+07
1109.0	2.692e+07
1110.0	2.692e+07
1111.0	2.672e+07
1112.0	2.654e+07
1113.0	2.647e+07
1114.0	2.670e+07
1115.0	2.649e+07
1116.0	2.650e+07
1117.0	2.662e+07
1118.0	2.637e+07
1119.0	2.601e+07
1120.0	2.601e+07
1121.0	2.619e+07
1122.0	2.629e+07
1123.0	2.625e+07
1124.0	2.606e+07
